start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,rat_present_at_landing,rat_present_30s
2018-08-02 01:52:00,1.0,fast,2018-08-02 01:52:00,2018-08-02 01:52:00,2,0,1,2,7/02/2018 17:19,8.554722222,0,0,1
2018-08-02 02:06:00,6.0,rat,2018-08-02 02:05:00,2018-08-02 02:09:00,74,1,0,2,7/02/2018 17:19,8.796944444,0,0,0
2018-08-02 02:06:00,1.0,rat,2018-08-02 02:05:00,2018-08-02 02:09:00,80,1,0,2,7/02/2018 17:19,8.798611111,0,0,0
2018-08-02 02:07:00,7.0,rat,2018-08-02 02:05:00,2018-08-02 02:09:00,99,1,0,2,7/02/2018 17:19,8.803888889,0,0,0
2018-08-02 02:07:00,4.0,rat,2018-08-02 02:05:00,2018-08-02 02:09:00,116,1,0,2,7/02/2018 17:19,8.808611111,0,0,0
2018-08-02 02:08:00,4.0,rat,2018-08-02 02:05:00,2018-08-02 02:09:00,200,1,0,2,7/02/2018 17:19,8.831944444,0,0,0
2018-08-02 03:41:00,0.035867953,rat,2018-08-02 03:41:00,2018-08-02 03:45:00,27,1,0,2,7/02/2018 17:19,10.37444444,0,0,1
2018-02-02 00:43:00,2.0,fast,2018-02-02 00:40:00,2018-02-02 00:44:00,184,0,1,2,1/02/2018 17:14,7.489722222,0,0,0
2018-02-02 00:44:00,1.0,rat,2018-02-02 00:40:00,2018-02-02 00:44:00,239,1,0,2,1/02/2018 17:14,7.505,0,0,0
2018-09-02 00:06:00,3.0,fast,2018-09-02 00:06:00,2018-09-02 00:06:00,2,0,1,2,8/02/2018 17:20,6.767222222,0,0,1
2018-09-02 00:11:00,1.0,rat,2018-09-02 00:09:00,2018-09-02 00:13:00,135,1,0,2,8/02/2018 17:20,6.862222222,0,0,0
2018-09-02 00:26:00,17.0,pick,2018-09-02 00:26:00,2018-09-02 00:32:00,2,0,1,2,8/02/2018 17:20,7.114722222,0,0,1
2018-09-02 00:29:00,1.0,rat,2018-09-02 00:26:00,2018-09-02 00:32:00,154,1,0,2,8/02/2018 17:20,7.156944444,0,0,0
2018-09-02 03:31:00,1.0,rat,2018-09-02 03:28:00,2018-09-02 03:33:00,146,1,0,2,8/02/2018 17:20,10.18444444,0,0,0
2018-09-02 03:32:00,21.0,rat,2018-09-02 03:28:00,2018-09-02 03:33:00,211,1,0,2,8/02/2018 17:20,10.2025,0,0,0
2018-09-02 03:32:00,9.0,pick,2018-09-02 03:28:00,2018-09-02 03:33:00,246,0,1,2,8/02/2018 17:20,10.21222222,0,0,0
2018-02-13 03:44:00,1.0,rat,2018-02-13 03:43:00,2018-02-13 03:45:00,77,1,0,2,12/02/2018 17:24,10.34222222,0,0,0
2018-02-13 03:50:00,3.0,fast,2018-02-13 03:49:00,2018-02-13 03:50:00,59,0,1,2,12/02/2018 17:24,10.435,0,0,0
2018-02-14 22:05:00,1.0,rat,2018-02-14 22:04:00,2018-02-14 22:12:00,89,1,0,2,14/02/2018 17:26,4.659166667,0,0,0
2018-02-14 22:08:00,2.0,rat,2018-02-14 22:04:00,2018-02-14 22:12:00,259,1,0,2,14/02/2018 17:26,4.706388889,0,0,0
2018-02-14 22:11:00,4.0,rat,2018-02-14 22:04:00,2018-02-14 22:12:00,470,1,0,2,14/02/2018 17:26,4.765,0,0,0
2018-02-14 22:46:00,2.0,rat,2018-02-14 22:43:00,2018-02-14 22:52:00,187,1,0,2,14/02/2018 17:26,5.341666667,0,0,0
2018-02-14 22:46:00,1.0,rat,2018-02-14 22:43:00,2018-02-14 22:52:00,204,1,0,2,14/02/2018 17:26,5.346388889,0,0,0
2018-02-14 22:50:00,2.0,rat,2018-02-14 22:43:00,2018-02-14 22:52:00,420,1,0,2,14/02/2018 17:26,5.406388889,0,0,0
2018-02-14 22:50:00,9.0,rat,2018-02-14 22:43:00,2018-02-14 22:52:00,434,1,0,2,14/02/2018 17:26,5.410277778,0,0,0
2018-02-14 22:51:00,0.061201372,rat,2018-02-14 22:43:00,2018-02-14 22:52:00,512,1,0,2,14/02/2018 17:26,5.431944444,0,0,0
2018-02-14 22:52:00,1.0,rat,2018-02-14 22:43:00,2018-02-14 22:52:00,518,1,0,2,14/02/2018 17:26,5.433611111,0,0,0
2018-02-14 03:11:00,31.0,pick,2018-02-14 03:02:00,2018-02-14 03:11:00,499,0,1,2,13/02/2018 17:25,9.771666667,0,0,0
2018-02-14 05:30:00,1.0,rat,2018-02-14 05:26:00,2018-02-14 05:34:00,225,1,0,2,13/02/2018 17:25,12.09194444,0,0,0
2018-02-15 18:21:00,0.050105814,fast,2018-02-15 18:20:00,2018-02-15 18:28:00,54,0,1,2,15/02/2018 17:26,0.9225,0,0,0
2018-02-15 19:31:00,1.0,fast,2018-02-15 19:30:00,2018-02-15 19:31:00,30,0,1,2,15/02/2018 17:26,2.085833333,0,0,1
2018-02-15 19:31:00,0.085595674,attack_rat,2018-02-15 19:30:00,2018-02-15 19:31:00,71,1,0,2,15/02/2018 17:26,2.097222222,0,0,0
2018-02-15 18:52:00,6.0,bat,2018-02-15 18:49:00,2018-02-15 18:55:00,179,1,0,2,15/02/2018 17:26,1.440277778,0,0,0
2018-02-15 18:52:00,6.0,pick,2018-02-15 18:49:00,2018-02-15 18:55:00,201,0,1,2,15/02/2018 17:26,1.446388889,0,0,0
2018-02-15 18:54:00,1.0,rat,2018-02-15 18:49:00,2018-02-15 18:55:00,321,1,0,2,15/02/2018 17:26,1.479722222,0,0,0
2018-04-02 18:33:00,3.0,bat_and_rat,2018-04-02 18:32:00,2018-04-02 18:50:00,77,1,0,2,4/02/2018 17:17,1.274722222,0,0,0
2018-04-02 18:32:00,155.0,,2018-04-02 18:32:00,2018-04-02 18:50:00,42,0,0,2,4/02/2018 17:17,1.265,0,0,0
2018-04-02 18:46:00,1.0,,2018-04-02 18:32:00,2018-04-02 18:50:00,856,0,0,2,4/02/2018 17:17,1.491111111,0,0,0
2018-04-02 18:47:00,1.0,,2018-04-02 18:32:00,2018-04-02 18:50:00,933,0,0,2,4/02/2018 17:17,1.5125,0,0,0
2018-03-02 17:51:00,29.0,rat,2018-03-02 17:51:00,2018-03-02 17:51:00,22,1,0,2,3/02/2018 17:16,0.592777778,0,0,1
2018-02-02 18:30:00,4.0,rat,2018-02-02 18:30:00,2018-02-02 18:30:00,3,1,0,2,2/02/2018 17:15,1.260555556,0,0,1
2018-05-02 23:22:00,1.0,,2018-05-02 23:21:00,2018-05-02 23:26:00,77,0,0,2,5/02/2018 17:18,6.072222222,0,0,0
2018-05-02 23:22:00,1.0,,2018-05-02 23:21:00,2018-05-02 23:26:00,110,0,0,2,5/02/2018 17:18,6.081388889,0,0,0
2018-05-02 23:25:00,6.0,,2018-05-02 23:21:00,2018-05-02 23:26:00,253,0,0,2,5/02/2018 17:18,6.121111111,0,0,0
2018-02-16 22:18:00,2.0,rat,2018-02-16 22:18:00,2018-02-16 22:22:00,25,1,0,2,16/02/2018 17:27,4.860277778,0,0,1
2018-02-16 22:21:00,16.0,rat,2018-02-16 22:18:00,2018-02-16 22:22:00,181,1,0,2,16/02/2018 17:27,4.903611111,0,0,0
2018-02-16 22:21:00,2.0,rat,2018-02-16 22:18:00,2018-02-16 22:22:00,201,1,0,2,16/02/2018 17:27,4.909166667,0,0,0
2018-02-16 22:21:00,1.0,fast,2018-02-16 22:18:00,2018-02-16 22:22:00,206,0,1,2,16/02/2018 17:27,4.910555556,0,0,0
2018-02-16 22:22:00,0.07570842,rat_attack,2018-02-16 22:18:00,2018-02-16 22:22:00,250,1,0,2,16/02/2018 17:27,4.922777778,0,0,0
2018-02-19 00:33:00,0.057540536,fast,2018-02-19 00:31:00,2018-02-19 00:34:00,157,0,1,2,18/02/2018 17:29,7.078055556,0,0,0
2018-02-19 01:33:00,3.0,rat,2018-02-19 01:33:00,2018-02-19 01:33:00,6,1,0,2,18/02/2018 17:29,8.078333333,0,0,1
2018-10-02 21:08:00,5.0,rat,2018-10-02 21:04:00,2018-10-02 21:11:00,222,1,0,2,10/02/2018 17:22,3.771111111,0,0,0
2018-10-02 21:36:00,1.0,rat,2018-10-02 21:35:00,2018-10-02 21:36:00,68,1,0,2,10/02/2018 17:22,4.236666667,0,0,0
2018-10-02 21:36:00,2.0,rat,2018-10-02 21:35:00,2018-10-02 21:36:00,75,1,0,2,10/02/2018 17:22,4.238611111,0,0,0
2018-10-02 21:44:00,1.0,rat,2018-10-02 21:44:00,2018-10-02 21:51:00,6,1,0,2,10/02/2018 17:22,4.368333333,0,0,1
2018-10-02 21:45:00,6.0,,2018-10-02 21:44:00,2018-10-02 21:51:00,86,0,0,2,10/02/2018 17:22,4.390555556,0,0,0
2018-10-02 21:45:00,4.0,rat,2018-10-02 21:44:00,2018-10-02 21:51:00,92,1,0,2,10/02/2018 17:22,4.392222222,0,0,0
2018-10-02 21:46:00,13.0,rat,2018-10-02 21:44:00,2018-10-02 21:51:00,137,1,0,2,10/02/2018 17:22,4.404722222,0,0,0
2018-10-02 21:46:00,1.0,rat,2018-10-02 21:44:00,2018-10-02 21:51:00,155,1,0,2,10/02/2018 17:22,4.409722222,0,0,0
2018-10-02 21:46:00,2.0,fast,2018-10-02 21:44:00,2018-10-02 21:51:00,158,0,1,2,10/02/2018 17:22,4.410555556,0,0,0
2018-10-02 21:47:00,1.0,rat,2018-10-02 21:44:00,2018-10-02 21:51:00,224,1,0,2,10/02/2018 17:22,4.428888889,0,0,0
2018-11-02 00:32:00,1.0,rat,2018-11-02 00:31:00,2018-11-02 00:33:00,35,1,0,2,10/02/2018 17:22,7.1725,0,0,0
2018-11-02 01:09:00,5.0,pick,2018-11-02 01:09:00,2018-11-02 01:10:00,7,0,1,2,10/02/2018 17:22,7.794722222,0,0,1
2018-11-02 01:54:00,0.04438061,rat,2018-11-02 01:52:00,2018-11-02 01:58:00,105,1,0,2,10/02/2018 17:22,8.544444444,0,0,0
2018-11-02 01:55:00,3.0,rat,2018-11-02 01:52:00,2018-11-02 01:58:00,132,1,0,2,10/02/2018 17:22,8.551944444,0,0,0
2018-11-02 01:56:00,1.0,fast,2018-11-02 01:52:00,2018-11-02 01:58:00,242,0,1,2,10/02/2018 17:22,8.5825,0,0,0
2018-11-02 01:57:00,6.0,fast,2018-11-02 01:52:00,2018-11-02 01:58:00,269,0,1,2,10/02/2018 17:22,8.59,0,0,0
2018-11-02 01:57:00,24.0,rat,2018-11-02 01:52:00,2018-11-02 01:58:00,286,1,0,2,10/02/2018 17:22,8.594722222,0,0,0
2018-10-02 19:25:00,0.097399911,fast,2018-10-02 19:24:00,2018-10-02 19:25:00,13,0,1,2,10/02/2018 17:22,2.05,0,0,1
2018-02-17 20:50:00,2.0,rat,2018-02-17 20:49:00,2018-02-17 20:51:00,20,1,0,2,17/02/2018 17:28,3.370555556,0,0,1
2018-02-17 20:50:00,1.0,rat,2018-02-17 20:49:00,2018-02-17 20:51:00,35,1,0,2,17/02/2018 17:28,3.374722222,0,0,0
2018-02-17 20:50:00,2.0,rat,2018-02-17 20:49:00,2018-02-17 20:51:00,42,1,0,2,17/02/2018 17:28,3.376666667,0,0,0
2018-02-17 17:42:00,0.050211363,fast,2018-02-17 17:40:00,2018-02-17 17:43:00,139,0,1,2,17/02/2018 17:28,0.247777778,0,0,0
2018-03-18 21:37:00,3.0,fast,2018-03-18 21:37:00,2018-03-18 21:40:00,2,0,1,3,18/03/2018 17:50,3.795555556,1,0,1
2018-03-18 21:38:00,2.0,fast,2018-03-18 21:37:00,2018-03-18 21:40:00,73,0,1,3,18/03/2018 17:50,3.815277778,1,0,0
2018-03-18 21:39:00,1.0,fast,2018-03-18 21:37:00,2018-03-18 21:40:00,105,0,1,3,18/03/2018 17:50,3.824166667,1,0,0
2018-03-18 21:39:00,2.0,fast,2018-03-18 21:37:00,2018-03-18 21:40:00,130,0,1,3,18/03/2018 17:50,3.831111111,1,0,0
2018-03-29 00:47:00,4.0,pick,2018-03-29 00:46:00,2018-03-29 00:55:00,71,0,1,3,28/03/2018 18:57,5.849444444,1,0,0
2018-03-29 00:49:00,0.046019395,rat,2018-03-29 00:46:00,2018-03-29 00:55:00,192,1,0,3,28/03/2018 18:57,5.883055556,1,0,0
2018-03-29 00:50:00,9.0,pick,2018-03-29 00:46:00,2018-03-29 00:55:00,220,0,1,3,28/03/2018 18:57,5.890833333,1,0,0
2018-03-29 00:50:00,18.0,pick,2018-03-29 00:46:00,2018-03-29 00:55:00,239,0,1,3,28/03/2018 18:57,5.896111111,1,0,0
2018-03-29 00:50:00,14.0,rat,2018-03-29 00:46:00,2018-03-29 00:55:00,250,1,0,3,28/03/2018 18:57,5.899166667,1,0,0
2018-03-29 00:51:00,2.0,other_bats,2018-03-29 00:46:00,2018-03-29 00:55:00,264,1,0,3,28/03/2018 18:57,5.903055556,1,0,0
2018-03-29 00:51:00,3.0,fast,2018-03-29 00:46:00,2018-03-29 00:55:00,265,0,1,3,28/03/2018 18:57,5.903333333,1,0,0
2018-03-29 00:51:00,12.0,rat,2018-03-29 00:46:00,2018-03-29 00:55:00,279,1,0,3,28/03/2018 18:57,5.907222222,1,0,0
2018-03-29 00:51:00,15.0,pick,2018-03-29 00:46:00,2018-03-29 00:55:00,295,0,1,3,28/03/2018 18:57,5.911666667,1,0,0
2018-03-29 00:53:00,2.0,fast,2018-03-29 00:46:00,2018-03-29 00:55:00,426,0,1,3,28/03/2018 18:57,5.948055556,1,0,0
